Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,DC1_L2_LEAF2A,Ethernet1,l3leaf,DC1_SVC2A,Ethernet5,True
l2leaf,DC1_L2_LEAF2A,Ethernet2,l3leaf,DC1_SVC2B,Ethernet5,True
l2leaf,DC1_L2_LEAF2A,Ethernet3,mlag_peer,DC1_L2_LEAF2B,Ethernet3,True
l2leaf,DC1_L2_LEAF2A,Ethernet4,mlag_peer,DC1_L2_LEAF2B,Ethernet4,True
l2leaf,DC1_L2_LEAF2A,Ethernet5,server,server03,Eth1,True
l2leaf,DC1_L2_LEAF2A,Ethernet6,server,server04,Eth1,True
l2leaf,DC1_L2_LEAF2B,Ethernet1,l3leaf,DC1_SVC2A,Ethernet6,True
l2leaf,DC1_L2_LEAF2B,Ethernet2,l3leaf,DC1_SVC2B,Ethernet6,True
l2leaf,DC1_L2_LEAF2B,Ethernet3,mlag_peer,DC1_L2_LEAF2A,Ethernet3,True
l2leaf,DC1_L2_LEAF2B,Ethernet4,mlag_peer,DC1_L2_LEAF2A,Ethernet4,True
l2leaf,DC1_L2_LEAF2B,Ethernet5,server,server03,Eth2,True
l2leaf,DC1_L2_LEAF2B,Ethernet6,server,server04,Eth2,True
l3leaf,DC1_LEAF1A,Ethernet1,spine,DC1_SPINE1,Ethernet1,True
l3leaf,DC1_LEAF1A,Ethernet2,spine,DC1_SPINE2,Ethernet1,True
l3leaf,DC1_LEAF1A,Ethernet3,mlag_peer,DC1_LEAF1B,Ethernet3,True
l3leaf,DC1_LEAF1A,Ethernet4,mlag_peer,DC1_LEAF1B,Ethernet4,True
l3leaf,DC1_LEAF1A,Ethernet5,server,server01,Eth1,True
l3leaf,DC1_LEAF1A,Ethernet6,server,server02,Eth1,True
l3leaf,DC1_LEAF1B,Ethernet1,spine,DC1_SPINE1,Ethernet2,True
l3leaf,DC1_LEAF1B,Ethernet2,spine,DC1_SPINE2,Ethernet2,True
l3leaf,DC1_LEAF1B,Ethernet3,mlag_peer,DC1_LEAF1A,Ethernet3,True
l3leaf,DC1_LEAF1B,Ethernet4,mlag_peer,DC1_LEAF1A,Ethernet4,True
l3leaf,DC1_LEAF1B,Ethernet5,server,server01,Eth2,True
l3leaf,DC1_LEAF1B,Ethernet6,server,server02,Eth2,True
spine,DC1_SPINE1,Ethernet1,l3leaf,DC1_LEAF1A,Ethernet1,True
spine,DC1_SPINE1,Ethernet2,l3leaf,DC1_LEAF1B,Ethernet1,True
spine,DC1_SPINE1,Ethernet3,l3leaf,DC1_SVC2A,Ethernet1,True
spine,DC1_SPINE1,Ethernet4,l3leaf,DC1_SVC2B,Ethernet1,True
spine,DC1_SPINE2,Ethernet1,l3leaf,DC1_LEAF1A,Ethernet2,True
spine,DC1_SPINE2,Ethernet2,l3leaf,DC1_LEAF1B,Ethernet2,True
spine,DC1_SPINE2,Ethernet3,l3leaf,DC1_SVC2A,Ethernet2,True
spine,DC1_SPINE2,Ethernet4,l3leaf,DC1_SVC2B,Ethernet2,True
l3leaf,DC1_SVC2A,Ethernet1,spine,DC1_SPINE1,Ethernet3,True
l3leaf,DC1_SVC2A,Ethernet2,spine,DC1_SPINE2,Ethernet3,True
l3leaf,DC1_SVC2A,Ethernet3,mlag_peer,DC1_SVC2B,Ethernet3,True
l3leaf,DC1_SVC2A,Ethernet4,mlag_peer,DC1_SVC2B,Ethernet4,True
l3leaf,DC1_SVC2A,Ethernet5,l2leaf,DC1_L2_LEAF2A,Ethernet1,True
l3leaf,DC1_SVC2A,Ethernet6,l2leaf,DC1_L2_LEAF2B,Ethernet1,True
l3leaf,DC1_SVC2B,Ethernet1,spine,DC1_SPINE1,Ethernet4,True
l3leaf,DC1_SVC2B,Ethernet2,spine,DC1_SPINE2,Ethernet4,True
l3leaf,DC1_SVC2B,Ethernet3,mlag_peer,DC1_SVC2A,Ethernet3,True
l3leaf,DC1_SVC2B,Ethernet4,mlag_peer,DC1_SVC2A,Ethernet4,True
l3leaf,DC1_SVC2B,Ethernet5,l2leaf,DC1_L2_LEAF2A,Ethernet2,True
l3leaf,DC1_SVC2B,Ethernet6,l2leaf,DC1_L2_LEAF2B,Ethernet2,True
